Item Code,Item Name,Retail Price,Cost,Category
750515011359,M.Y SAN HAPPY TIME ASSORTED,410,360,SNACKS
4800153149061,BONNA 1.2KG O-6 MONTHS,827,773,Milk Powder
4800888151841,SURF SUN FRESH,7,6,Others
4902430951371,SAFEGUARD FRESH GREEN,22,18,Others
4800011178769,DR. S. WONG`S ALOE VERA 135G,65,60,Others
4809014785288,FROSTLIKE OINTMENT 10G,25,20,Others
4806504713035,GOLDEN WHOLE CORN,42,40,Others
289308814,NESCAFE CREAMY WHITE TWIN 1 DZ,148,145,Others
4806014092828,BLACK BEANS 180G,35,33,Others
4806018405815,WHATTA TOPS COOKIES,78,71,SNACKS
4800092661815,CHOCO MUCHO MINI,43,40,SNACKS
8996001320136,KOPIKO CANDY,35,33,Others
453633265,DRIED FISH 1,50,45,Others
256491843,SUNNY HOTDOG JOMBO,40,38,Others
999175362,MATRIX,21,20,Others
4809013948073,MISUA MAGIC MJ,25,20,Others
69025310,SNICKERS CHOCOLAIT,16,15,SNACKS
4805358810150,MAGNOLIA CHINCKEN 30ML,12,11,Others
19950778,KRIP KRIP GRILLED BEEF 75G,40,39,Others
4891208040143,OISHI 24G,7,6,SNACKS
100550996,TITUS,8,6,Others
4800888602282,LADYS CHOICE HAM,110,100,Others
8851932438513,CREMDAE MILKIE,15,14,Others
4800142113530,THE BAR LIME GIN,120,104,Hard Liquor
4800086049001,CREAMDAE SUPREME CHOCO MALLOWS 750ML,150,135,SNACKS
165413613,SSS 1 PACK,200,140,Others
4800060075200,PURITY COTTON,7,5,Others
4801010501213,JOHNSONS BABY OIL,33,30,Others
4806502169353,SANICARE COTTON COMPACT,68,64,Others
4806030204755,PATIS,16,15,Others
4809011038455,BONGBONG TOASTED MUFFIN,78,74,SNACKS
1234561392413,DURIAN CANDY,30,27,Others
4806014000359,GOODLIFE VERMICELLI 1.59,12,9,Others
6922398212206,SHOES GLUE,13,12,Others
4801688109810,LABSTER,22,20,SNACKS
4809011612587,CRAB NUGGETS,75,70,Others
7751313700933,JANG JANG SPECIAL BISCOCHO,85,84,Others
6949602306452,BESUPER XL18,148,145,Others
4809014829159,MISUA WHITE,25,20,Others
4806524659832,PLAYFUL BABY PANTS XL8,77,75,Others
4806020400181,SELECT SOY SAUCE 350ML,15,12,Others
939330216,PEPSI 750ML,35,34,Others
4800088115087,VIRGINIA VIENNA SAUSAGE,28,25,Others
945595847,POP-I  #44,84,80,Others
848495736,CHOCO VANILLA INJECT,130,125,Others
4800011131733,CASINO ACTIVE 500ML,80,76,Others
4806516223560,SWEETBABY PANTS XXL30,248,240,Others
338848234,CLOTH-LIKE DAIPERS MEDIUM 30,162,155,Others
4806524651102,BABYFUL  WIPES,58,50,Others
4801668100141,DATU PUTI VINEGAR 1 LITER,46,45,Others
4800016087547,MAGIC CREAM CHEES CREAM,54,50,SNACKS
